"Niche","Cluster_name","n_samples","Genus","mean_abundance","sd_abundance","min_abundance","max_abundance"
"Nose","Cor10/Sta2",19,"g__Corynebacterium",0.524318050795027,0.220087402800581,0.237095289885384,1
"Nose","Cor10/Sta2",19,"g__Staphylococcus",0.151923586134482,0.216177564466404,0,0.706682436428149
"Nose","Cor10/Sta2",19,"g__Paracoccus",0.0358369445192716,0.106846136520035,0,0.434269956734655
"Nose","Cor10/Sta2",19,"g__Streptococcus",0.0325731375589851,0.106090760830232,0,0.452764039316346
"Nose","Cor10/Sta2",19,"g__Dolosigranulum",0.032039247690603,0.05684310450345,0,0.164394986417576
"Nose","Dol7/Cor10",47,"g__Dolosigranulum",0.471821806028587,0.169163058789971,0.123109991105841,0.999402747362134
"Nose","Dol7/Cor10",47,"g__Corynebacterium",0.237227201385221,0.156106454033546,0,0.672188552188552
"Nose","Dol7/Cor10",47,"g__Staphylococcus",0.061979733159752,0.0968747149674292,0,0.368337276833728
"Nose","Dol7/Cor10",47,"g__",0.0463367126579973,0.0790747677870682,0,0.293724531377343
"Nose","Dol7/Cor10",47,"g__Streptococcus",0.0199576357047548,0.0516848609217822,0,0.268131334587607
"Nose","Enh21",8,"g__Enhydrobacter",0.499471803745549,0.111998220030328,0.320363402771405,0.643880112210247
"Nose","Enh21",8,"g__",0.11756581394989,0.162336037496072,0,0.364139895553094
"Nose","Enh21",8,"g__Segetibacter",0.0494975681380196,0.140000264330547,0,0.395980545104157
"Nose","Enh21",8,"g__Paucibacter",0.0302988342037242,0.0856980445100012,0,0.242390673629794
"Nose","Enh21",8,"g__Deinococcus",0.0291877281662454,0.082555362055127,0,0.233501825329963
"Nose","Fla29",18,"g__",0.36179927116862,0.1107974614794,0.135984693180265,0.519346845415846
"Nose","Fla29",18,"g__Flavobacterium",0.279476104974246,0.0846710397094261,0.161516111991548,0.47560475604756
"Nose","Fla29",18,"g__Corynebacterium",0.0320632461891011,0.0860233789373146,0,0.356293562935629
"Nose","Fla29",18,"g__Staphylococcus",0.0279362014587515,0.0435520066118862,0,0.14027515511195
"Nose","Fla29",18,"g__Fluviicola",0.0264297895758315,0.0598602543306796,0,0.226376165717587
"Nose","Gem15",2,"g__Gemella",0.295521918342872,0.137270208579519,0.198457223001403,0.392586613684341
"Nose","Gem15",2,"g__",0.169781447907612,0.240107226270286,0,0.339562895815224
"Nose","Gem15",2,"g__Aureimonas",0.157316503038803,0.222479132182584,0,0.314633006077606
"Nose","Gem15",2,"g__Eikenella",0.127941405641265,0.180936471046955,0,0.255882811282531
"Nose","Gem15",2,"g__Haemophilus",0.124425679870856,0.175964483980857,0,0.248851359741711
"Nose","Hae12",15,"g__Haemophilus",0.696334236018944,0.21239710909388,0.399335823993358,0.990889679715303
"Nose","Hae12",15,"g__Moraxella",0.0825658524365256,0.147527115138919,0,0.409539194014623
"Nose","Hae12",15,"g__Dolosigranulum",0.0684788031647724,0.129997215780851,0,0.461941782679443
"Nose","Hae12",15,"g__Streptococcus",0.0408719058446851,0.086249010487882,0,0.307513491075135
"Nose","Hae12",15,"g__Corynebacterium",0.0329820503007777,0.0533689076228428,0,0.174023372287145
"Nose","Hae9",19,"g__Haemophilus",0.700272556376869,0.223495151595745,0.231022877927729,1
"Nose","Hae9",19,"g__Streptococcus",0.0960517141561249,0.130966327825869,0,0.377609010126059
"Nose","Hae9",19,"g__Staphylococcus",0.033772440093509,0.0758802684841599,0,0.234191176470588
"Nose","Hae9",19,"g__Moraxella",0.0303313586624024,0.0553702677311117,0,0.182732019013481
"Nose","Hae9",19,"g__Corynebacterium",0.0135682030625791,0.0408095987091759,0,0.146975630983464
"Nose","Mix",72,"g__",0.156591058214772,0.25994265210846,0,0.999430940573937
"Nose","Mix",72,"g__Corynebacterium",0.0487650348522087,0.142045792481051,0,0.978110314123176
"Nose","Mix",72,"g__Acinetobacter",0.0416572447945744,0.173362568210042,0,0.996392785571142
